Permit Number,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
94-16001,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/18/1993,02/01/1994,13001010000,Sportsman's Grille,"Sportsman's Grille, Inc.",5405  Harding PIKE,Nashville,TN,37205.00000,34,37018500,"5405 Harding PIKE
Nashville, TN 37205
(36.099462, -86.871678)"
15-17285,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/03/2015,09/25/2015,10504021900,GC Mart,Bander Inc,10  Fairfield AVE,Nashville,TN,37210.00000,19,37014800,"10 Fairfield AVE
Nashville, TN 37210
(36.147658, -86.757759)"
17-25256,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/27/2017,10/26/2017,18100023900,LOS PORTALES MEXICAN RESTAURANTE,,6448  NOLENSVILLE PIKE,ANTIOCH,TN,37013.00000,31,37019114,"6448 NOLENSVILLE PIKE
ANTIOCH, TN 37013
(36.009522, -86.701677)"
16-17317,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/22/2016,03/10/2016,13400027300,Harding Place Tobacco and Beer,Atef Samaan,326  Harding PL  103,Nashville,TN,37211.00000,13,37015613,"326 Harding PL 103
Nashville, TN 37211
(36.086793, -86.694303)"
06-00792,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/25/2006,08/10/2006,18100000700,Corner Asia Cafe,"Corner Asia Cafe, Inc.",10656  Concord RD,Brentwood,TN,37027.00000,4,37019115,"10656 Concord RD
Brentwood, TN 37027
(35.996656, -86.690092)"
13-00938,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,05/30/2013,06/13/2013,13600007400,The Loading Zone,"JLCR, LLC",2825  Smith Springs RD,Nashville,TN,37217.00000,29,37015617,"2825 Smith Springs RD
Nashville, TN 37217
(36.087837, -86.607939)"
15-20188,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/26/2015,09/25/2015,092160E00100CO,Le Sel,Le Sel LLC,1922  Adelicia ST,Nashville,TN,37212.00000,19,37016400,"1922 Adelicia ST
Nashville, TN 37212
(36.148249, -86.797715)"
16-20363,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/23/2016,10/21/2016,13001005200,Giovanni's West,"Giovanni's West, LLC",106  Harding PL,Nashville,TN,37205.00000,23,37018500,"106 Harding PL
Nashville, TN 37205
(36.101895, -86.869302)"
05-00736,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/23/2005,03/11/2005,14200027800,Sir Pizza,"Sir Pizza of Bellevue, LLC",7648  Highway 70  S 19,Nashville,TN,37221.00000,22,37018401,"7648 Highway 70 S 19
Nashville, TN 37221
(36.079286, -86.952808)"
13-19788,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/26/2013,09/12/2013,10501023300,Bella Napoli Pizzeria,"Bella Napoli Edgehill Village, LLC",1200  Villa PL  206,Nashville,TN,37212.00000,17,37016300,"1200 Villa PL 206
Nashville, TN 37212
(36.142756, -86.791967)"
